message:{'Q': 0, '1': 188, 'W': 106, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-8132, 1313, 0, 23, 1]   JOINTS
message:{'Q': 0, '1': 50, 'W': 74, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-2621, 1041, 0, 2, 0]   JOINTS
message:{'Q': 52, '1': 6, 'W': 60, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[1866, 1315, -1, -9, 0]   JOINTS
message:{'Q': 0, '1': 96, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-4209, -7, 1, -18, -1]   JOINTS
message:{'Q': 0, '1': 69, 'W': 0, '2': 65, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-3146, 3, 0, 4, 1]   JOINTS
message:{'Q': 0, '1': 47, 'W': 0, '2': 1, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-2092, -2, 0, 17, 0]   JOINTS
message:{'Q': 93, '1': 51, 'W': 3, '2': 10, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[1600, 1, 0, -9, 0]   JOINTS
message:{'Q': 80, '1': 0, 'W': 0, '2': 117, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[3646, -1611, 0, -5, 0]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 49, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[0, -2080, 0, -3, 0]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 50, 'E': 0, '3': 41, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[0, -2315, 1867, 24, -1]   JOINTS
message:{'Q': 96, '1': 0, 'W': 86, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 94}  delta:[4462, -9, -39, -22, -2351]   JOINTS
message:{'Q': 0, '1': 1, 'W': 0, '2': 0, 'E': 0, '3': 58, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-277, 2, 2630, 1, -2]   JOINTS
message:{'Q': 0, '1': 48, 'W': 0, '2': 43, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-2105, -1, -15, -3, 0]   JOINTS
message:{'Q': 68, '1': 13, 'W': 65, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 16, 'T': 0, '5': 22}  delta:[2121, 0, 1, 1579, -259]   JOINTS
message:{'Q': 89, '1': 0, 'W': 10, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 27, 'T': 36, '5': 55}  delta:[3905, 0, 1, 2092, 786]   JOINTS
message:{'Q': 45, '1': 0, 'W': 0, '2': 49, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[2106, -262, 0, -1, -4]   JOINTS
message:{'Q': 33, '1': 0, 'W': 0, '2': 0, 'E': 115, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[1554, 2, -4447, 4, 0]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 79, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[1, -2, -3657, -2, 1]   JOINTS
message:{'Q': 38, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[1849, 0, -1, 0, -1]   JOINTS
message:{'Q': 21, '1': 171, 'W': 0, '2': 12, 'E': 0, '3': 0, 'R': 0, '4': 47, 'T': 0, '5': 0}  delta:[-6308, 1, -1, 4184, 1]   JOINTS
message:{'Q': 50, '1': 156, 'W': 32, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-4682, 258, 0, 2, 0]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 67, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-12, 1, -3187, -4, -1]   JOINTS
message:{'Q': 0, '1': 95, 'W': 0, '2': 64, 'E': 1, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-4195, 4, -211, 2, 0]   JOINTS
message:{'Q': 14, '1': 52, 'W': 10, '2': 50, 'E': 38, '3': 20, 'R': 21, '4': 0, 'T': 0, '5': 76}  delta:[-1818, -1, -2, -1558, -2613]   JOINTS
message:{'Q': 0, '1': 60, 'W': 0, '2': 54, 'E': 16, '3': 135, 'R': 0, '4': 0, 'T': 18, '5': 0}  delta:[-2614, 0, 5231, -11, 784]   JOINTS
message:{'Q': 0, '1': 0, 'W': 0, '2': 62, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-1, -2916, -2, 0, 0]   JOINTS
message:{'Q': 0, '1': 0, 'W': 31, '2': 1, 'E': 61, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[0, 1345, -2875, 0, -1]   JOINTS
message:{'Q': 0, '1': 0, 'W': 34, '2': 1, 'E': 0, '3': 0, 'R': 0, '4': 73, 'T': 2, '5': 19}  delta:[1, 1569, 0, 6792, 0]   JOINTS
message:{'Q': 119, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[5242, 1, 1, 5, 0]   JOINTS
message:{'Q': 178, '1': 70, 'W': 0, '2': 67, 'E': 99, '3': 26, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[4675, 0, -3134, 0, 0]   JOINTS
message:{'Q': 0, '1': 68, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-3130, -1, -6, 1, 1]   JOINTS
message:{'Q': 0, '1': 0, 'W': 148, '2': 0, 'E': 0, '3': 17, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[11, 6581, 785, 0, -1]   JOINTS
message:{'Q': 47, '1': 0, 'W': 31, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[2107, -49, 0, 0, 0]   JOINTS
message:{'Q': 47, '1': 0, 'W': 26, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[2075, 280, 1, 0, 1]   JOINTS
message:{'Q': 22, '1': 0, 'W': 14, '2': 0, 'E': 0, '3': 135, 'R': 84, '4': 25, 'T': 0, '5': 31}  delta:[1046, -13, 6016, -4706, -1]   JOINTS
message:{'Q': 39, '1': 186, 'W': 23, '2': 32, 'E': 0, '3': 52, 'R': 0, '4': 0, 'T': 0, '5': 17}  delta:[-6018, 2, 2351, 0, -784]   JOINTS
message:{'Q': 68, '1': 58, 'W': 103, '2': 24, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[541, -9, 0, 0, 0]   JOINTS
message:{'Q': 44, '1': 0, 'W': 0, '2': 57, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[1821, -804, 0, -1, -1]   JOINTS
message:{'Q': 33, '1': 80, 'W': 45, '2': 13, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}  delta:[-2120, 1857, 0, 0, 1]   JOINTS
