[1, 0, 0, 0, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 20, '4': 0, 'T': 0, '5': 0}
[-1480, 3, 0, 0, 0]   {'Q': 0, '1': 41, 'W': 0, '2': 39, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1057, -214, 0, 422, 1]   {'Q': 0, '1': 40, 'W': 0, '2': 36, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 31, '5': 0}
[-212, -215, 0, 423, -1]   {'Q': 12, '1': 25, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 13, '4': 0, 'T': 41, '5': 0}
[0, 4, 0, -2959, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
[-1, 0, 0, -2964, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
[1, 6, -1479, 2, 1]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 41, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, -9, -1481, 1, -1]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 42, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1, 2, -1479, -1, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 42, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, -1268, -213, 0, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 1, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, -1482, 0, 1, 1]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, -1474, 0, 0, -1]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[0, -1492, 0, -1, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-1479, 8, 0, -1, 0]   {'Q': 0, '1': 41, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
