[1, 0, 1, 21, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-2, 0, -5, -19, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
[2, 0, 0, -21, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
[-1, 0, -1, -22, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
[-1, 0, 3, -21, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
[0, 0, -1, -21, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
[-1, 0, -3, -22, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
[1, 0, 4, -21, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
[0, 0, -2, -18, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 0}
[0, 0, 0, -19, -20]   {'Q': 0, '1': 0, 'W': 0, '2': 0, 'E': 0, '3': 0, 'R': 41, '4': 0, 'T': 0, '5': 9}
[-1, 193, 3, 1, 0]   {'Q': 0, '1': 0, 'W': 0, '2': 41, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
[-193, 0, 0, 0, 0]   {'Q': 41, '1': 0, 'W': 41, '2': 0, 'E': 0, '3': 0, 'R': 0, '4': 0, 'T': 0, '5': 0}
